QEMU_INTERACTION_PHASE boot=1 phase=x-socket
CONTROL_14cee316d03f253e4e321d63 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_6deda63064ade53acfd66e4a status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_1b79e6c2433fa22abf0785c9 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_5965855e29f1e20425b3001b status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_9157f98c0c315c8eb786a7b8 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_67865eb59b599fd97366cee4 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_11ace7b6d8b6419944f4a63a status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_5e38feddf0aa8b9832bdace6 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_e5f88a84502093405172ec03 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_98a313f65ab66e14ff5a2e8f status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_98f22e0f155a56fcbac0bd3f status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_ccb781849ec476fdd3f5c16f status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_72d07b4e294519959372dbcd status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_1d2e6f527501522c61f2cd93 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_5b3abb7560b41a0b11716c43 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_fa3bb64fd35b7a836eb5b5c2 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_5b49e92f402e3d06ca27d27c status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_8d525db8aa9a0a9bb17d53b2 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_52b9732f11577943c65857c7 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_92ea7b2c8f09445638663745 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_5c41f0f6f7fae81ac7c4b2e7 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_2eb153061b238a6259d89683 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_ca2989d3c506f8457cb5589d status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_06c87b607be4711c03993413 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_e5e119623918c1589b1488e4 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_4ae6ac260c2f412a1678e9b9 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_17486d7196f149a2c6b3da40 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_808977948fb106abc402322b status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_f0560c5090b1d6af46c514f8 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_e95cb26d6108cc9edc3a07ad status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_46efdd7e98c06322b7c619e8 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_8709fe0dc3c972bc2f77a774 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_7e371a8eae71357e5d56d152 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_4e70a7286f5181b8999c3cdd status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_d293cde22ee6ebf3be3e2c76 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_ab87f72210aa35e3abcdc5ee status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_3dfa27ca03af69fb5076a7cb status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_f5bc375276fc608849629ff7 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_b499802548ea6fbb6d0dc5ac status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_aea66e814eefd435b8699560 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_33fa0e7b741f7dabc4034be9 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_162721b246dca7432e452d67 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_9756740cbfdc212a6fca96fc status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_8d0dbac8b665a206be5e9272 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_57196c888d9a1e23da85f0c1 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_3f080f92e8ef76cbc1e67bea status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_015c11e35ca96022ee6cb0b6 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_7670d4a2cb15fa8ba41c96f5 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_b959c4f488917670ab77953f status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_c465dba60a0774fae33d39fd status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_5c436ba641ab5d0d32e0ce08 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
