QEMU_INTERACTION_PHASE boot=1 phase=x-socket
CONTROL_e5115ae3a43ac7c515284ced status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_fca1514e9bc7767909265991 status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_99aa01c67bb175b295ab372e status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_2f8ed94c6b36d9a2ef7354c5 status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_d4d2dc1b5e49e9876868643b status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_e5bb0070192b3d5e412bb05b status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_02b9e47a8ff28c808deeb8a1 status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_6dfb829a04f7fc0785c77750 status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_68bf6b136bf7bc3b051c110e status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_58659105d5f92732e382a50b status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_4afab3d7915bb445e7494037 status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_70d0ecae2075a432e154a4b1 status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_ef8464f8db1a69e0c2db5cf3 status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_c3aaad4c21e949a29c1f0b33 status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_f9a5002db929fb6990abddcc status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_788996d56fb8d6cf0acd53e1 status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_dfe4c5fa8da23112abad17d6 status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_fae7649484f6f9f7b4649bdd status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_1594ca21a063b9d20693ca10 status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_a82fb3e2dd1125effce51a4e status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_70dc265c2cd6a3c147657e4a status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
